1:tensor(0.8370, device='cuda:0', dtype=torch.float64);
5:tensor(0.8210, device='cuda:0', dtype=torch.float64);
10:tensor(0.7580, device='cuda:0', dtype=torch.float64);
15:tensor(0.7800, device='cuda:0', dtype=torch.float64);
20tensor(0.8240, device='cuda:0', dtype=torch.float64)
30:tensor(0.8260, device='cuda:0', dtype=torch.float64);
40:tensor(0.8250, device='cuda:0', dtype=torch.float64);
50:tensor(0.8250, device='cuda:0', dtype=torch.float64);
60:tensor(0.7690, device='cuda:0', dtype=torch.float64);
64tensor(0.8260, device='cuda:0', dtype=torch.float64)
65:tensor(0.7780, device='cuda:0', dtype=torch.float64);
66tensor(0.8000, device='cuda:0', dtype=torch.float64)
67:tensor(0.7670, device='cuda:0', dtype=torch.float64);
68:tensor(0.8220, device='cuda:0', dtype=torch.float64);
70:tensor(0.8180, device='cuda:0', dtype=torch.float64);
80tensor(0.8210, device='cuda:0', dtype=torch.float64)
90:tensor(0.8250, device='cuda:0', dtype=torch.float64);
20news:
1:tensor(0.7776, device='cuda:0', dtype=torch.float64);
5tensor(0.7768, device='cuda:0', dtype=torch.float64)
10tensor(0.7800, device='cuda:0', dtype=torch.float64)
15:tensor(0.7712, device='cuda:0', dtype=torch.float64);
20:tensor(0.7800, device='cuda:0', dtype=torch.float64);
30tensor(0.7712, device='cuda:0', dtype=torch.float64)
40tensor(0.7768, device='cuda:0', dtype=torch.float64)
50:tensor(0.7712, device='cuda:0', dtype=torch.float64);
60tensor(0.7784, device='cuda:0', dtype=torch.float64)
64:tensor(0.7752, device='cuda:0', dtype=torch.float64);
65:tensor(0.7832, device='cuda:0', dtype=torch.float64);
66tensor(0.7744, device='cuda:0', dtype=torch.float64)
67tensor(0.7824, device='cuda:0', dtype=torch.float64)
68tensor(0.7784, device='cuda:0', dtype=torch.float64)
70tensor(0.7752, device='cuda:0', dtype=torch.float64)
80tensor(0.7768, device='cuda:0', dtype=torch.float64)
90:tensor(0.7784, device='cuda:0', dtype=torch.float64);
1:tensor(0.9729, device='cuda:0', dtype=torch.float64);
5:tensor(0.9729, device='cuda:0', dtype=torch.float64);
10tensor(0.9560, device='cuda:0', dtype=torch.float64)
15:tensor(0.9726, device='cuda:0', dtype=torch.float64);
20:tensor(0.9729, device='cuda:0', dtype=torch.float64);
30:tensor(0.9729, device='cuda:0', dtype=torch.float64);
40:tensor(0.9609, device='cuda:0', dtype=torch.float64);
50:tensor(0.9689, device='cuda:0', dtype=torch.float64);
60:tensor(0.9689, device='cuda:0', dtype=torch.float64);
64:tensor(0.9726, device='cuda:0', dtype=torch.float64);
65:tensor(0.9729, device='cuda:0', dtype=torch.float64);
66:tensor(0.9717, device='cuda:0', dtype=torch.float64);
67:tensor(0.9729, device='cuda:0', dtype=torch.float64);
68:tensor(0.8600, device='cuda:0', dtype=torch.float64);
70:tensor(0.9729, device='cuda:0', dtype=torch.float64);
80:tensor(0.9723, device='cuda:0', dtype=torch.float64);
90:tensor(0.9646, device='cuda:0', dtype=torch.float64);
90:tensor(0.9554, device='cuda:0', dtype=torch.float64);
90:tensor(0.9649, device='cuda:0', dtype=torch.float64);
90:tensor(0.9720, device='cuda:0', dtype=torch.float64);
90:tensor(0.9611, device='cuda:0', dtype=torch.float64);
90:tensor(0.9691, device='cuda:0', dtype=torch.float64);
90:tensor(0.9720, device='cuda:0', dtype=torch.float64);
90:tensor(0.9611, device='cuda:0', dtype=torch.float64);
90:tensor(0.9726, device='cuda:0', dtype=torch.float64);
90:tensor(0.9729, device='cuda:0', dtype=torch.float64);
90:tensor(0.9726, device='cuda:0', dtype=torch.float64);
90:tensor(0.9637, device='cuda:0', dtype=torch.float64);
90:tensor(0.9697, device='cuda:0', dtype=torch.float64);
90:tensor(0.9694, device='cuda:0', dtype=torch.float64);
90:tensor(0.9729, device='cuda:0', dtype=torch.float64);
90:tensor(0.9729, device='cuda:0', dtype=torch.float64);
90:tensor(0.9729, device='cuda:0', dtype=torch.float64);
90:tensor(0.9723, device='cuda:0', dtype=torch.float64);
90:tensor(0.9729, device='cuda:0', dtype=torch.float64);
0:tensor(0.9729, device='cuda:0', dtype=torch.float64);
0.1:tensor(0.9729, device='cuda:0', dtype=torch.float64);
0.15tensor(0.9631, device='cuda:0', dtype=torch.float64)
0.18:tensor(0.9726, device='cuda:0', dtype=torch.float64);
0.2:tensor(0.9729, device='cuda:0', dtype=torch.float64);
0.22:tensor(0.9729, device='cuda:0', dtype=torch.float64);
0.25:tensor(0.9609, device='cuda:0', dtype=torch.float64);
0.26:tensor(0.9689, device='cuda:0', dtype=torch.float64);
0.27:tensor(0.9689, device='cuda:0', dtype=torch.float64);
0.28:tensor(0.9726, device='cuda:0', dtype=torch.float64);
0.29:tensor(0.9729, device='cuda:0', dtype=torch.float64);
0.3:tensor(0.9717, device='cuda:0', dtype=torch.float64);
0.4:tensor(0.9729, device='cuda:0', dtype=torch.float64);
0.5:tensor(0.8600, device='cuda:0', dtype=torch.float64);
0.6:tensor(0.9729, device='cuda:0', dtype=torch.float64);
0.7:tensor(0.9723, device='cuda:0', dtype=torch.float64);
0.8:tensor(0.9646, device='cuda:0', dtype=torch.float64);
0.9:tensor(0.9763, device='cuda:0', dtype=torch.float64);
1:tensor(0.9074, device='cuda:0', dtype=torch.float64);
0.2tensor(0.8260, device='cuda:0', dtype=torch.float64)
0.2:tensor(0.8120, device='cuda:0', dtype=torch.float64);
0.2:tensor(0.8220, device='cuda:0', dtype=torch.float64);
0.2:tensor(0.7750, device='cuda:0', dtype=torch.float64);
0.2:tensor(0.8289, device='cuda:0', dtype=torch.float64);
0.2:tensor(0.9591, device='cuda:0', dtype=torch.float64);
0.2:tensor(0.9729, device='cuda:0', dtype=torch.float64);
0.2:tensor(0.9729, device='cuda:0', dtype=torch.float64);
1:tensor(0.3880, device='cuda:0', dtype=torch.float64);
1:tensor(0.4880, device='cuda:0', dtype=torch.float64);
1:tensor(0.5710, device='cuda:0', dtype=torch.float64);
1:tensor(0.1940, device='cuda:0', dtype=torch.float64);
1:tensor(0.4300, device='cuda:0', dtype=torch.float64);
1:tensor(0.5840, device='cuda:0', dtype=torch.float64);
1:tensor(0.4660, device='cuda:0', dtype=torch.float64);
1:tensor(0.2500, device='cuda:0', dtype=torch.float64);
1:tensor(0.5330, device='cuda:0', dtype=torch.float64);
1:tensor(0.4820, device='cuda:0', dtype=torch.float64);
1:tensor(0.0700, device='cuda:0', dtype=torch.float64);
1:tensor(0.2530, device='cuda:0', dtype=torch.float64);
1:tensor(0.1540, device='cuda:0', dtype=torch.float64);
1:tensor(0.2060, device='cuda:0', dtype=torch.float64);
1:tensor(0.1000, device='cuda:0', dtype=torch.float64);
1:tensor(0.1660, device='cuda:0', dtype=torch.float64);
1:tensor(0.0520, device='cuda:0', dtype=torch.float64);
1:tensor(0.1990, device='cuda:0', dtype=torch.float64);
1:tensor(0.0440, device='cuda:0', dtype=torch.float64);
1:tensor(0.1240, device='cuda:0', dtype=torch.float64);
1:tensor(0.1470, device='cuda:0', dtype=torch.float64);
1:tensor(0.4170, device='cuda:0', dtype=torch.float64);
0:tensor(0.0700, device='cuda:0', dtype=torch.float64);
1:tensor(0.3880, device='cuda:0', dtype=torch.float64);
2:tensor(0.6150, device='cuda:0', dtype=torch.float64);
3:tensor(0.3800, device='cuda:0', dtype=torch.float64);
4:tensor(0.4300, device='cuda:0', dtype=torch.float64);
5:tensor(0.7190, device='cuda:0', dtype=torch.float64);
6:tensor(0.7960, device='cuda:0', dtype=torch.float64);
7:tensor(0.7780, device='cuda:0', dtype=torch.float64);
8:tensor(0.8020, device='cuda:0', dtype=torch.float64);
9:tensor(0.7740, device='cuda:0', dtype=torch.float64);
10:tensor(0.8200, device='cuda:0', dtype=torch.float64);
11:tensor(0.8190, device='cuda:0', dtype=torch.float64);
12:tensor(0.8090, device='cuda:0', dtype=torch.float64);
13:tensor(0.8150, device='cuda:0', dtype=torch.float64);
14:tensor(0.7720, device='cuda:0', dtype=torch.float64);
15:tensor(0.8320, device='cuda:0', dtype=torch.float64);
16:tensor(0.8240, device='cuda:0', dtype=torch.float64);
17:tensor(0.8180, device='cuda:0', dtype=torch.float64);
18:tensor(0.8130, device='cuda:0', dtype=torch.float64);
19:tensor(0.7960, device='cuda:0', dtype=torch.float64);
20:tensor(0.8170, device='cuda:0', dtype=torch.float64);
21:tensor(0.8240, device='cuda:0', dtype=torch.float64);
22:tensor(0.8120, device='cuda:0', dtype=torch.float64);
23:tensor(0.8050, device='cuda:0', dtype=torch.float64);
24:tensor(0.8030, device='cuda:0', dtype=torch.float64);
25:tensor(0.7930, device='cuda:0', dtype=torch.float64);
1:tensor(0.4850, device='cuda:0', dtype=torch.float64);
2:tensor(0.6640, device='cuda:0', dtype=torch.float64);
3:tensor(0.5470, device='cuda:0', dtype=torch.float64);
4:tensor(0.7370, device='cuda:0', dtype=torch.float64);
5:tensor(0.7080, device='cuda:0', dtype=torch.float64);
6:tensor(0.7820, device='cuda:0', dtype=torch.float64);
7:tensor(0.7320, device='cuda:0', dtype=torch.float64);
8:tensor(0.7490, device='cuda:0', dtype=torch.float64);
9:tensor(0.7380, device='cuda:0', dtype=torch.float64);
10:tensor(0.7910, device='cuda:0', dtype=torch.float64);
11:tensor(0.7540, device='cuda:0', dtype=torch.float64);
12:tensor(0.8150, device='cuda:0', dtype=torch.float64);
13:tensor(0.7600, device='cuda:0', dtype=torch.float64);
14:tensor(0.8290, device='cuda:0', dtype=torch.float64);
15:tensor(0.8040, device='cuda:0', dtype=torch.float64);
16:tensor(0.8350, device='cuda:0', dtype=torch.float64);
17:tensor(0.8230, device='cuda:0', dtype=torch.float64);
18:tensor(0.2980, device='cuda:0', dtype=torch.float64);
19:tensor(0.8170, device='cuda:0', dtype=torch.float64);
20:tensor(0.8220, device='cuda:0', dtype=torch.float64);
21:tensor(0.8170, device='cuda:0', dtype=torch.float64);
22:tensor(0.8300, device='cuda:0', dtype=torch.float64);
23:tensor(0.7650, device='cuda:0', dtype=torch.float64);
